,iteration,success,nllh,k,N,bic,theta,p_stay,pow_gain,prelec_elevation,prelec_gamma,tau,w_loss
0,0,False,943.85765783,7,230,1925.78187082,2,0.760590579115,0.310676288635,0.658300579032,1.28785153372,7.1390866451e-08,3.73374601823
1,0,True,943.608399371,7,230,1925.2833539,3,0.491877338573,0.582260386254,0.979819526866,1.15053412563,2.00062711662e-08,2.49229118243
2,0,True,1038.47537577,7,230,2115.0173067,4,0.648781949882,2.36814252723,2.13381278117,1.99994449819,0.000367366154731,3.92826364513e-07
3,0,True,1180.33183951,7,230,2398.73023418,5,0.632796613854,0.676433515153,4.99691310516,1.90914293152,7.63529630126e-10,1.06750233146
4,0,True,985.975958537,7,230,2010.01847224,6,0.000539674846898,0.407706433516,1.01129487779,0.731717075328,3.03865315848e-07,7.71176142927e-06
5,1,True,945.629617795,7,230,1929.32579075,2,0.759697468183,1.20588916344,2.01515993883,1.24767721573,0.000970539077762,0.804751656005
6,1,True,1264.79749569,7,230,2567.66154654,3,0.269603878924,0.000220609622796,4.08807227359,2.59262810446,3.94312796787e-09,5.07240215008e-06
7,1,True,1626.08475667,7,230,3290.23606851,4,0.794653386527,1.50023975189,3.79344051072,4.99999873852,3.09608523804e-08,1.61442135126
8,1,False,1126.46340078,7,230,2290.99335673,5,0.599281396492,0.602704034637,2.24431993468,1.08094825252,3.44538622548e-07,6.76779094983e-06
9,1,True,1022.62919278,7,230,2083.32494073,6,7.55632577132e-11,8.40804481739,4.99999999318,0.432952300812,0.007518546188,0.280126338442
10,2,True,1067.7573029,7,230,2173.58116096,2,0.81802700889,0.538835196014,3.96951231753,2.07582270718,8.93379460678e-11,0.948957615647
11,2,True,1566.43990381,7,230,3170.94636279,3,0.818828006374,1.34114436997,4.32313028904,4.60927872625,3.2159740265e-11,1.32271725566
12,2,True,945.114154826,7,230,1928.29486481,4,0.140300445819,1.15426419281,1.7918920068,1.11642410321,2.35870063136e-06,4.96860254147e-06
13,2,True,1021.60170056,7,230,2081.26995628,5,0.528787097616,2.41353589458,4.89084471418,1.03371702695,1.76297251092e-09,7.79371373321e-07
14,2,True,977.766169849,7,230,1993.59889486,6,1.21412647101e-08,1.03801272732,1.7123595568,1.11195905309,1.55296029167e-07,2.72785409385
15,3,True,1017.70297876,7,230,2073.47251269,2,0.533911555033,5.4420549647e-05,0.0438793303413,0.000813260007405,5.52091029151e-08,2.20558395776
16,3,True,945.571386697,7,230,1929.20932856,3,0.482039296144,1.50504149534,2.43098936155,1.15423674935,0.023599538563,0.431131711259
17,3,True,944.594183157,7,230,1927.25492148,4,0.162569374844,0.846810162991,1.31360624534,1.11542558586,1.21477889278e-09,2.08643279795
18,3,True,1567.14528183,7,230,3172.35711882,5,0.755758594302,2.76750080884,0.228498536924,4.91520260671,2.06807515997e-09,2.57443024812
19,3,True,977.780975074,7,230,1993.62850531,6,1.84560972101e-05,1.04011916518,1.70072258943,1.12402954915,4.78827563181e-09,1.67032668425
20,4,True,1067.38221721,7,230,2172.83098959,2,0.818207461108,1.44521054099,3.86726746895,1.44942915756,1.6847425027e-08,0.948379425197
21,4,True,943.501730888,7,230,1925.07001694,3,0.493919106397,0.386579437372,0.699676058419,1.14596458955,1.23001345472e-10,0.7039809054
22,4,False,944.045975544,7,230,1926.15850625,4,0.134506920139,0.425551409011,0.700627782423,1.08922821032,2.58902768278e-06,4.20839926908
23,4,True,955.856349554,7,230,1949.77925427,5,5.15805865157e-05,1.68737036352,2.7287655381,1.11302254887,2.37866045347e-09,2.21128370951
24,4,False,1020.05054712,7,230,2078.1676494,6,0.297360642554,2.27586291803,3.37156825779,1.3296767629,1.17145200511e-10,2.94600460072
