,iteration,success,nllh,k,N,bic,theta,p_stay,tau
0,0,True,972.113842056,3,230,1960.54192204,2,0.741726709258,1.72798605156e-05
1,0,True,972.526028622,3,230,1961.36629517,3,0.445004621484,2.91258484547e-06
2,0,True,975.261976692,3,230,1966.83819131,4,0.0987196045644,7.1054273576e-15
3,1,True,972.113854712,3,230,1960.54194735,2,0.741662450441,1.54062444904e-05
4,1,True,1529.79107567,3,230,3075.89638927,3,0.419784566239,35.5217961693
5,1,True,975.06422119,3,230,1966.44268031,4,0.0619193475851,1.00773892093e-07
6,2,True,972.113831102,3,230,1960.54190013,2,0.741758087202,8.09253290153e-06
7,2,True,972.526023024,3,230,1961.36628397,3,0.444912358475,2.82775546501e-07
8,2,True,1780.52262792,3,230,3577.35949377,4,0.105413866819,34.5261551909
9,3,True,972.113841487,3,230,1960.5419209,2,0.741801439448,1.49908951963e-05
10,3,True,1529.79107567,3,230,3075.89638927,3,0.419784590083,37.4498364366
11,3,True,975.064222645,3,230,1966.44268322,4,0.0617907747036,6.32973797455e-07
12,4,True,972.113828206,3,230,1960.54189434,2,0.741723161182,3.0809959295e-06
13,4,True,1529.79107567,3,230,3075.89638927,3,0.419784572598,32.6158902753
14,4,True,975.064226293,3,230,1966.44269051,4,0.0619343132215,4.31901289276e-06
