,iteration,success,nllh,k,N,bic,theta,p_stay,prelec_gamma
0,0,True,14627.5238349,3,10000,29282.6786908,1,0.999999803153,1.03719973361
1,0,True,13857.6264128,3,10000,27742.8838468,2,0.8986857612,0.823787755943
2,0,True,50596.0982952,3,10000,101219.827611,3,0.148370878142,0.820571656164
3,0,True,100718.278565,3,10000,201464.188151,4,0.999999999999,0.115826394091
4,0,True,106337.169337,3,10000,212701.969694,5,0.11484177308,1.27205694418
5,0,True,108927.291833,3,10000,217882.214686,6,0.999995074731,0.613269822969
6,0,True,115173.536115,3,10000,230374.703251,7,1.0,0.443457212036
7,0,True,126599.718971,3,10000,253227.068964,8,0.0667660228684,4.15541734071
8,0,True,116178.33054,3,10000,232384.292101,9,0.0127763410113,1.735015664
9,0,True,116976.510042,3,10000,233980.651105,10,0.999999999994,0.318474380093
