,iteration,success,nllh,k,N,bic,theta
0,0,False,8810.70012802,1,2000,17629.0011585,1
1,0,False,7097.66220686,1,2000,14202.9253162,2
2,0,False,15126.866624,1,2000,30261.3341504,3
3,0,False,20980.9595106,1,2000,41969.5199236,4
4,0,False,23119.5923623,1,2000,46246.785627,5
5,0,False,24115.2435872,1,2000,48238.0880768,6
6,0,False,24699.7774551,1,2000,49407.1558127,7
7,0,False,25042.2553613,1,2000,50092.1116251,8
8,0,False,25164.4009189,1,2000,50336.4027403,9
9,0,False,25264.1559068,1,2000,50535.9127161,10
