,iteration,success,nllh,k,N,bic,theta,p_stay
0,0,True,2933.34717558,2,600,5879.48821047,1,0.961620574854
1,0,True,2907.92256962,2,600,5828.63899856,2,0.866224347389
2,0,True,2886.33623005,2,600,5785.46631942,3,0.706714169402
3,0,True,2868.21352715,2,600,5749.22091361,4,0.483932646134
4,0,True,2857.06114086,2,600,5726.91614103,5,0.203401569957
5,0,True,2862.73087221,2,600,5738.25560373,6,0.0143264867196
6,0,True,2929.82019967,2,600,5872.43425865,7,0.0
7,0,True,3051.73172832,2,600,6116.25731595,8,0.000805228532814
8,0,True,3206.28380777,2,600,6425.36147485,9,2.9873778217e-06
9,0,True,3396.34388871,2,600,6805.48163673,10,3.33066907388e-16
