,iteration,success,nllh,k,N,bic,theta,tau
0,0,False,7238.56357324,2,600,14489.9210058,1,
1,0,True,4942.28714069,2,600,9897.36814068,2,0.445779751265
2,0,True,3614.2629181,2,600,7241.31969551,3,0.366989074185
3,0,True,3064.83947652,2,600,6142.47281236,4,0.371735723263
4,0,True,2891.92135619,2,600,5796.63657169,5,0.47354678574
5,0,True,2867.71457947,2,600,5748.22301826,6,0.580432618258
6,0,True,2911.24445361,2,600,5835.28276653,7,0.743527268105
7,0,True,2967.97610939,2,600,5948.74607809,8,0.870651556672
8,0,True,3024.50444354,2,600,6061.8027464,9,0.971923437218
9,0,True,3076.09913412,2,600,6164.99212756,10,0.999981359287
