,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,bf_cp_mn,bf_ss_mn_mn,bf_theta_mn,bf_p_stay_mn,bf_tau_mn,bf_cp_sd,bf_ss_mn_sd,bf_theta_sd,bf_p_stay_sd,bf_tau_sd,msd_cp_mn,msd_ss_mn,msd_cp_sd,msd_ss_sd
0,0.4865,3.043,1.0,0.0,0.01,0.502297346856,4.04300000031,1.0,0.751474917946,0.380449064465,9.93410746257e-09,0.295664987052,0.0,0.0180284099538,0.0234249805093,0.0254189387425,2.59646574463e-08,0.0166227327912,2.05716124442e-08
0,0.762,2.0965,1.0,0.0,1.0,0.630695162937,3.09650000038,1.0,0.676435876683,0.422250344358,7.02447475182e-09,0.142049471551,0.0,0.014999695597,0.0178442870697,0.131304837063,2.02707937103e-08,0.03029484738,1.18392967372e-08
0,0.43,4.934,1.0,0.3,0.01,0.471837828407,5.93400003512,1.0,0.831273816964,0.341824029018,7.02447475182e-09,0.216651312326,0.0,0.00626478465668,0.0246170331177,0.0444702627254,6.17060789132e-08,0.0334630744906,3.96781781081e-08
0,0.787,3.486,1.0,0.3,1.0,0.641003726571,4.48600000447,1.0,0.776014156118,0.367774171941,9.93410746257e-09,0.333456621062,0.0,0.0160980752005,0.0201962777102,0.145996273429,5.71550700545e-08,0.0178263226095,3.99673414769e-08
0,0.6985,18.1115,3.0,0.0,0.01,0.579126302387,19.4519077628,2.1,0.770270473713,0.369344690955,0.011593878521,0.479686667648,0.316227766017,0.0797895188696,0.0281293999842,0.119373697613,0.340407762759,0.0292541981476,0.178648468394
0,0.8975,14.1355,3.0,0.0,1.0,0.619800539414,15.2102413894,1.3,0.879700397462,0.317479513183,0.0421583602835,1.15963345024,0.48304589154,0.0855274282797,0.0618192322265,0.277699460586,0.0747414631371,0.0364234018124,0.131758191819
0,0.831,27.0715,3.0,0.3,0.01,0.664351273069,28.4979789593,2.9,0.705098056386,0.410880537237,0.0298652993576,1.03206385809,0.567646212198,0.110693934095,0.0528932302195,0.166648726931,0.426478959284,0.0458266058187,0.2067136695
0,0.922,17.6395,3.0,0.3,1.0,0.647856082318,18.8109375775,1.4,0.888022772845,0.284710902398,0.0509484111281,1.00027743088,0.516397779494,0.0748765932917,0.0483617352135,0.274143917682,0.171437759472,0.0450564318989,0.241324592743
0,0.983,25.68,5.0,0.0,0.01,0.881259234076,29.0106117621,5.2,0.289970319705,0.615444527647,0.0353623628668,1.74702117195,0.918936583473,0.164901526235,0.0852273252373,0.101740765924,2.33061176213,0.0332783942495,2.13358780889
0,0.379,50.484,5.0,0.0,1.0,0.461177975483,51.1904107643,3.8,0.677654731161,0.425987087545,0.0142305021679,3.56583166107,1.39841179756,0.219423511009,0.107838946156,0.0833553327687,0.75261378004,0.0335326660607,0.796191858968
0,0.1215,59.407,5.0,0.3,0.01,0.182384969213,62.3783597246,7.9,0.149835924945,0.670731184561,0.0259582812477,4.5236942215,0.875595035771,0.131512581459,0.0754099257254,0.0608849692125,2.19928898843,0.0219484825223,2.41539691786
0,0.718,66.724,5.0,0.3,1.0,0.598602920394,66.4691130922,3.9,0.738946398638,0.397084799338,0.0372459034892,4.42387735857,1.52388392675,0.203908436024,0.100800650389,0.119397079606,1.51863740277,0.0379658916586,0.917387066226
0,0.917,74.662,7.0,0.0,0.01,0.822659849032,81.724712203,9.4,0.0908125750767,0.689294792784,0.0249189779998,5.89386203518,0.966091783079,0.110190753652,0.0698771446784,0.0943401509679,6.06271220304,0.0189940815597,3.75560461538
0,0.999,24.2595,7.0,0.0,1.0,0.966509670808,26.8586182653,5.8,0.30852164475,0.603747791212,0.0210926061011,0.923780831512,1.03279555899,0.165156215223,0.112476434193,0.0324903291925,1.5991182653,0.0210963911348,0.566072014061
0,0.9585,74.253,7.0,0.3,0.01,0.923467160696,76.765083736,9.5,0.196395242494,0.66043763266,0.0219835481596,3.42843957573,0.971825315808,0.135331189218,0.0805757441503,0.0350328393039,1.93548964272,0.0180194179559,1.85763481939
0,0.9895,59.677,7.0,0.3,1.0,0.958390192772,62.4496972806,9.3,0.195253867438,0.651528320645,0.0172915793283,2.42290781931,1.05934990547,0.110769342302,0.0744983473042,0.0311098072285,1.77269728062,0.021200662621,1.01483146824
0,0.985,76.1105,9.0,0.0,0.01,0.909499898052,82.0078124847,10.0,0.12994731731,0.700488987829,0.0,2.32575724744,0.0,0.0247896594991,0.0552820754946,0.075500101948,4.89731248467,0.00623609564462,1.64170877436
0,0.9955,47.6525,9.0,0.0,1.0,0.975461739254,53.4623659178,9.7,0.0976772525808,0.708438595389,0.0132568512106,1.48404744341,0.948683298051,0.0933475542215,0.0661029476072,0.0200382607463,4.80986591777,0.0139931534519,1.06749067064
0,0.9975,53.49,9.0,0.3,0.01,0.994311588022,57.0944469632,10.0,0.314121758656,0.60287564411,1.98682149251e-08,1.39102208886,0.0,0.0167130856295,0.0199610366405,0.00405072958256,2.60536029671,0.00235880402646,1.12608135972
0,0.982,109.2305,9.0,0.3,1.0,0.917811472097,114.725762298,10.0,0.391967107324,0.562609585987,1.40489495036e-08,5.70934632174,0.0,0.0312730983622,0.0255738503364,0.0641885279035,4.49526229784,0.00714920352984,1.94894519199
