,dataset,stoprule,model,N,k,nllh,bic,p_stop_geom,theta,tau,tau_trunc,c_sigma,prelec_elevation,prelec_gamma
0,happy,optional,0,243,3,1254.48407999,2525.44734432,,125.7565604,,14.9816894447,24.9854795234,,
1,happy,optional,1,243,5,1237.44754337,2502.36039395,,128.714208329,,24.3688298491,23.4610275614,1.3702041137,1.46346983421
2,happy,geometric,0,243,3,1259.75700527,2535.99319488,0.0329780009117,,193.958585194,,28.6185743737,,
3,happy,geometric,1,243,5,1245.50404709,2518.47340139,0.0286983144626,,185.793229125,,19.9469074,1.23497579719,2.10098190412
4,sad,optional,0,252,3,1355.38193754,2727.35216234,,115.702007677,,29.2293229034,18.7147678664,,
5,sad,optional,1,252,5,1332.98140894,2693.60996332,,130.316107189,,26.8238686484,19.8172464205,1.97763412831,0.878633943387
6,sad,geometric,0,252,3,1357.03340044,2730.65508814,0.0235240999415,,194.384097476,,44.5734684225,,
7,sad,geometric,1,252,5,1345.60671227,2718.86056998,0.0263940507248,,157.686219766,,29.5075889939,2.29946033766,1.10778654168
8,fearful,optional,0,261,3,1459.68749797,2936.06855717,,149.665401338,,24.7065456674,21.1739802301,,
9,fearful,optional,1,261,5,1458.71675321,2945.25610845,,146.422355116,,28.8480299582,20.4365968236,1.08468382359,1.06953779894
10,fearful,geometric,0,261,3,1468.02146799,2952.73649719,0.0195958746492,,140.129762815,,39.1977171119,,
11,fearful,geometric,1,261,5,1467.06131456,2961.94523115,0.0212545405151,,19.7182546623,,69.3025247674,1.97261567027,1.36445495891
12,angry,optional,0,252,3,1329.63390535,2675.85609796,,148.31101385,,95.8819556145,22.9607042814,,
13,angry,optional,1,252,5,1322.87691399,2673.40097342,,136.350455544,,98.1434732484,22.3241435369,1.8277575112,0.919729932546
14,angry,geometric,0,252,3,1331.91268145,2680.41365017,0.0275727517674,,169.633531823,,73.1588363162,,
15,angry,geometric,1,252,5,1328.20665673,2684.06045889,0.0252685836195,,45.6061926746,,29.1783816252,2.64986673613,0.870772332512
